Year,RGDP
1983,7722.998666666666
1984,8248.778
1985,8582.398333333333
1986,8860.439333333334
1987,9188.204
1988,9570.068333333335
1989,9901.429333333333
1990,10057.709333333332
1991,10075.011333333334
1992,10451.916666666666
1993,10720.146666666667
1994,11173.156333333332
1995,11444.032666666666
1996,11919.992666666667
1997,12455.242
1998,12998.587
1999,13619.832999999999
2000,14168.661666666667
2001,14246.594666666666
2002,14506.020333333334
2003,14965.036333333332
2004,15516.783000000001
2005,16035.701000000001
2006,16459.585000000003
2007,16812.697333333334
2008,16760.978666666666
2009,16366.06
2010,16858.764
2011,17096.336666666666
2012,17468.009000000002
2013,17862.089333333333
2014,18364.294333333335
2015,18843.955666666665
2016,19188.333
2017,19683.355666666666
2018,20243.834666666666
2019,20784.399
2020,20090.247666666666
2021,21546.743
2022,21849.75833333333
2023,22465.099000000002
