Year,Unemployment 
1983,9.344444444444443
1984,7.388888888888889
1985,7.177777777777777
1986,6.988888888888889
1987,6.033333333333334
1988,5.422222222222222
1989,5.277777777777777
1990,5.722222222222222
1991,6.933333333333334
1992,7.533333333333333
1993,6.833333333333333
1994,5.944444444444445
1995,5.633333333333333
1996,5.366666666666667
1997,4.844444444444445
1998,4.455555555555556
1999,4.188888888888889
2000,3.9444444444444446
2001,4.911111111111111
2002,5.811111111111111
2003,6.033333333333334
2004,5.488888888888889
2005,5.011111111111111
2006,4.566666666666666
2007,4.655555555555556
2008,6.066666666666666
2009,9.622222222222222
2010,9.533333333333333
2011,8.899999999999999
2012,8.011111111111111
2013,7.2333333333333325
2014,5.988888888888889
2015,5.188888888888889
2016,4.866666666666666
2017,4.288888888888889
2018,3.8444444444444446
2019,3.611111111111111
2020,9.511111111111113
2021,5.0555555555555545
2022,3.577777777777778
2023,3.6666666666666665
